Latitude,Longitude,Sample Date,elevation,land_cover
-28.760833,17.730278,02-01-2011,163.0,80
-26.861111,28.884722,03-01-2011,1520.5389404296875,30
-26.45,28.085833,03-01-2011,1470.731201171875,30
-27.671111,27.236944,03-01-2011,1338.7171630859375,30
-27.356667,27.286389,03-01-2011,1357.4078369140625,30
-27.01011111,26.69808333,04-01-2011,1281.6807861328125,10
-25.127778,27.628889,04-01-2011,951.590576171875,20
-25.20639,27.558,04-01-2011,950.8628540039062,30
-24.69514,27.40906,04-01-2011,912.1831665039062,80
-26.98472222,26.63227778,04-01-2011,1277.647705078125,30
-28.141944,26.417778,04-01-2011,1266.67333984375,20
-27.398611,26.614722,04-01-2011,1257.28466796875,10
-33.501667,21.624167,04-01-2011,235.67153930664062,10
-32.502778,19.535833,04-01-2011,380.2056579589844,20
-25.45963889,28.26430556,04-01-2011,1095.9090576171875,10
-27.495556,26.074722,04-01-2011,1248.753662109375,30
-26.648056,27.089444,05-01-2011,1352.767822265625,30
-26.970278,27.211111,05-01-2011,1315.0,80
-27.38972222,26.46388889,05-01-2011,1237.5,80
-27.044444,27.005,05-01-2011,1308.2554931640625,30
-30.830556,26.921389,06-01-2011,1317.5,80
-27.00222,28.76528,06-01-2011,1488.9547119140625,60
-27.02314,28.59389,06-01-2011,1486.530517578125,80
-30.679722,26.7125,06-01-2011,1291.0,80
-30.160091,27.40124,06-01-2011,1418.4010009765625,30
-32.595833,19.009444,06-01-2011,155.5481719970703,10
-25.99136,27.84208,10-01-2011,1359.536865234375,10
-26.73806,27.59194,10-01-2011,1404.5,80
-26.45,28.085833,10-01-2011,1470.731201171875,30
-30.86013889,29.07125,10-01-2011,818.0,80
-27.356667,27.286389,10-01-2011,1357.4078369140625,30
-27.01011111,26.69808333,11-01-2011,1281.6807861328125,10
-25.73411,27.21422,11-01-2011,1449.1878662109375,20
-26.98472222,26.63227778,11-01-2011,1277.647705078125,30
-27.398611,26.614722,11-01-2011,1257.28466796875,10
-27.671111,27.236944,11-01-2011,1338.7171630859375,30
-29.160278,26.573333,11-01-2011,1334.7421875,50
-34.250556,20.9925,11-01-2011,33.65439224243164,20
-25.45963889,28.26430556,11-01-2011,1095.9090576171875,10
-25.81048333,27.90955222,12-01-2011,1179.497314453125,10
-27.273889,28.49,12-01-2011,1484.0,10
-27.4275,28.525833,12-01-2011,1507.2254638671875,40
-28.883333,27.89,12-01-2011,1545.1055908203125,10
-27.00222,28.76528,13-01-2011,1488.9547119140625,60
-27.02314,28.59389,13-01-2011,1486.530517578125,80
-30.534167,24.961944,13-01-2011,1214.826416015625,20
-28.460833,21.248889,13-01-2011,788.2156372070312,20
-29.658056,25.973333,14-01-2011,1318.5,60
-28.760833,17.730278,16-01-2011,163.0,80
-25.513889,31.224444,17-01-2011,437.56500244140625,10
-26.861111,28.884722,17-01-2011,1520.5389404296875,30
-31.554722,29.245556,17-01-2011,232.40518188476562,10
-28.058889,30.373611,17-01-2011,1138.25048828125,30
-25.127778,27.628889,18-01-2011,951.590576171875,20
-25.20639,27.558,18-01-2011,950.8628540039062,30
-24.69514,27.40906,18-01-2011,912.1831665039062,80
-25.681111,31.783333,18-01-2011,198.4040985107422,10
-27.802778,28.768333,18-01-2011,1559.447021484375,30
-27.398611,26.614722,18-01-2011,1257.28466796875,10
-31.104278,29.399722,18-01-2011,369.2330322265625,10
-31.396,29.2651,18-01-2011,105.0,80
-33.38056,19.30167,18-01-2011,438.0837097167969,30
-33.31388889,19.07472222,18-01-2011,88.55345153808594,10
-27.495556,26.074722,18-01-2011,1248.753662109375,30
-24.39619444,27.08983333,19-01-2011,873.5,20
-26.970278,27.211111,19-01-2011,1315.0,80
-26.880278,26.965,19-01-2011,1297.1910400390625,30
-27.273889,28.49,19-01-2011,1484.0,10
-27.3,28.586944,19-01-2011,1510.1981201171875,30
-27.044444,27.005,19-01-2011,1308.2554931640625,30
-30.568333,29.422778,19-01-2011,1243.49072265625,30
-30.570833,29.150556,19-01-2011,1352.0,60
-34.031944,22.053333,19-01-2011,57.332664489746094,10
-33.13083,18.86278,19-01-2011,29.64319610595703,10
-33.7075,18.97444444,19-01-2011,97.21508026123047,50
-25.57877778,29.12747222,19-01-2011,1158.9649658203125,30
-26.006389,29.253889,20-01-2011,1513.4835205078125,10
-27.02314,28.59389,20-01-2011,1486.530517578125,80
-30.679722,26.7125,20-01-2011,1291.0,80
-28.460833,21.248889,20-01-2011,788.2156372070312,20
-30.77586667,29.03221667,20-01-2011,896.7788696289062,20
-24.925278,29.324444,21-01-2011,833.3770141601562,20
-28.460833,21.248889,21-01-2011,788.2156372070312,20
-24.679167,30.8025,24-01-2011,1105.8779296875,30
-25.99136,27.84208,24-01-2011,1359.536865234375,10
-25.49037,30.6986,24-01-2011,822.9190063476562,10
-26.970278,27.211111,24-01-2011,1315.0,80
-27.671111,27.236944,24-01-2011,1338.7171630859375,30
-27.356667,27.286389,24-01-2011,1357.4078369140625,30
-27.01011111,26.69808333,25-01-2011,1281.6807861328125,10
-26.98472222,26.63227778,25-01-2011,1277.647705078125,30
-27.398611,26.614722,25-01-2011,1257.28466796875,10
-33.818056,19.694722,25-01-2011,167.78260803222656,10
-25.45963889,28.26430556,25-01-2011,1095.9090576171875,10
-33.897778,20.012778,25-01-2011,129.47451782226562,10
-25.81048333,27.90955222,26-01-2011,1179.497314453125,10
-34.065833,20.404167,26-01-2011,54.5,80
-24.058889,31.237222,26-01-2011,279.5721130371094,30
-26.648056,27.089444,26-01-2011,1352.767822265625,30
-26.880278,26.965,26-01-2011,1297.1910400390625,30
-27.273889,28.49,26-01-2011,1484.0,10
-27.044444,27.005,26-01-2011,1308.2554931640625,30
-34.092222,21.295278,26-01-2011,90.59208679199219,40
-27.02314,28.59389,27-01-2011,1486.530517578125,80
-26.73806,27.59194,27-01-2011,1404.5,80
-28.760833,17.730278,30-01-2011,163.0,80
-26.861111,28.884722,31-01-2011,1520.5389404296875,30
-26.73806,27.59194,31-01-2011,1404.5,80
-25.127778,27.628889,01-02-2011,951.590576171875,20
-24.69514,27.40906,01-02-2011,912.1831665039062,80
-27.363611,31.783333,01-02-2011,161.6654815673828,10
-27.802778,28.768333,01-02-2011,1559.447021484375,30
-29.160278,26.573333,01-02-2011,1334.7421875,50
-34.329722,18.990278,01-02-2011,5.4692158699035645,10
-25.20639,27.558,02-02-2011,950.8628540039062,30
-23.281,30.54305556,03-02-2011,470.0606384277344,80
-28.801278,31.955389,03-02-2011,7.797098159790039,10
-27.00222,28.76528,03-02-2011,1488.9547119140625,60
-27.02314,28.59389,03-02-2011,1486.530517578125,80
-27.3,28.586944,03-02-2011,1510.1981201171875,30
-30.679722,26.7125,03-02-2011,1291.0,80
-28.460833,21.248889,03-02-2011,788.2156372070312,20
-28.460833,21.248889,04-02-2011,788.2156372070312,20
-29.140556,31.391944,07-02-2011,22.0,10
-25.99136,27.84208,07-02-2011,1359.536865234375,10
-24.058889,31.237222,07-02-2011,279.5721130371094,30
-26.73806,27.59194,07-02-2011,1404.5,80
-30.86013889,29.07125,07-02-2011,818.0,80
-27.356667,27.286389,07-02-2011,1357.4078369140625,30
-28.058889,30.373611,07-02-2011,1138.25048828125,30
-27.01011111,26.69808333,08-02-2011,1281.6807861328125,10
-27.169444,29.233889,08-02-2011,1519.5404052734375,30
-26.98472222,26.63227778,08-02-2011,1277.647705078125,30
-27.398611,26.614722,08-02-2011,1257.28466796875,10
-27.573056,24.746389,08-02-2011,1089.3448486328125,10
-33.501667,21.624167,08-02-2011,235.67153930664062,10
-32.502778,19.535833,08-02-2011,380.2056579589844,20
-25.45963889,28.26430556,08-02-2011,1095.9090576171875,10
-26.970278,27.211111,09-02-2011,1315.0,80
-27.273889,28.49,09-02-2011,1484.0,10
-28.69485,28.23487,09-02-2011,1590.15673828125,10
-28.883333,27.89,09-02-2011,1545.1055908203125,10
-27.02314,28.59389,10-02-2011,1486.530517578125,80
-30.679722,26.7125,10-02-2011,1291.0,80
-30.534167,24.961944,10-02-2011,1214.826416015625,20
-34.031944,22.053333,10-02-2011,57.332664489746094,10
-34.039722,22.133333,10-02-2011,5.23058557510376,10
-32.595833,19.009444,10-02-2011,155.5481719970703,10
-28.801278,31.955389,11-02-2011,7.797098159790039,10
-29.658056,25.973333,11-02-2011,1318.5,60
-28.068333,31.55,11-02-2011,240.43788146972656,10
-28.760833,17.730278,13-02-2011,163.0,80
-29.7775,29.470833,14-02-2011,1467.992431640625,20
-29.987778,29.851667,14-02-2011,1000.8191528320312,10
-29.744167,29.905833,14-02-2011,915.9917602539062,30
-26.861111,28.884722,14-02-2011,1520.5389404296875,30
-26.45,28.085833,14-02-2011,1470.731201171875,30
-31.396,29.2651,14-02-2011,105.0,80
-25.20639,27.558,15-02-2011,950.8628540039062,30
-24.69514,27.40906,15-02-2011,912.1831665039062,80
-26.006389,29.253889,15-02-2011,1513.4835205078125,10
-27.802778,28.768333,15-02-2011,1559.447021484375,30
-27.398611,26.614722,15-02-2011,1257.28466796875,10
-27.671111,27.236944,15-02-2011,1338.7171630859375,30
-29.160278,26.573333,15-02-2011,1334.7421875,50
-30.568333,29.422778,15-02-2011,1243.49072265625,30
-30.570833,29.150556,15-02-2011,1352.0,60
