Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,NDVI,NDWI,NDSI_water,NDTI,Turbidity_Index,Chlorophyll_Proxy,BSI,SWIR22_NIR_ratio,SWIR16_NIR_ratio,Green_NIR_ratio,SWIR22_Green_ratio,SWIR16_Green_ratio,log_nir,log_green,log_swir16,log_swir22,nir_squared,swir22_squared,red,blue,lwir11,NDVI_red,EVI,SAVI,BSI_full,AWEI_nsh,AWEI_sh,NRI,Red_Blue_ratio,Green_Red_ratio,Turbidity_Red,pet,ppt,tmax,tmin,soil,aet,def,pdsi,q,elevation,land_cover,year,month,quarter,day_of_year,week_of_year,season,is_wet_season,months_since_start,month_sin,month_cos,day_of_year_sin,day_of_year_cos
-28.760833,17.730278,02-01-2011,128.912,555.0,10.0,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225,-0.0104350902016271,0.0104350902016271,0.1982591369094426,-0.1982591369094426,0.6690880448100764,-0.0206546472956501,-0.1919311698749616,0.6831992850759546,0.6869973190348464,1.021090259159955,0.6690880448100764,0.6728076317171304,9.322865162818028,9.343734255146714,8.947480984955748,8.941937914256359,125216100.0,58446025.0,,,,,,,,-8867.25,,,,,,174.1999969482422,32.7,36.09999847412109,22.689998626708984,0.0,31.100000381469727,143.10000610351562,3.649999856948853,1.6,163.0,80,2011,1,1,2,52,summer,1,0,0.4999999999999999,0.8660254037844387,0.0343276005132434,0.9994106342455052
-26.861111,28.884722,03-01-2011,74.72,162.9,163.0,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,0.2980134884319227,-0.2980134884319227,-0.0508845160007948,0.0508845160007948,1.1072251308900407,0.8490575916230172,-0.0560461099574995,0.5988051080216293,0.7784636294135925,0.5408160376022848,1.1072251308900407,1.4394240837696184,9.779029161186362,9.164401140034736,9.52861226838197,9.26624800391448,311822622.25,111809476.0,,,,,,,,-50279.125,,,,,,124.0999984741211,51.1,27.15999984741211,13.219999313354492,12.800000190734863,53.79999923706055,70.30000305175781,0.6599999666213989,2.6,1520.5389404296875,30,2011,1,1,3,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.0514787547703465,0.9986740898848304
-26.45,28.085833,03-01-2011,89.254,573.0,80.0,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,0.1731585036637093,-0.1731585036637093,-0.1396813932025194,0.1396813932025194,1.324720149253719,0.4188432835820763,0.1074778418380516,0.9336620644312892,1.1817225509533125,0.7047994740302386,1.324720149253719,1.6766791044775964,9.629774129311745,9.27995971385624,9.796737182589249,9.561138078742038,231344100.0,201668401.0,,,,,,,,-71871.25,,,,,,127.5,62.7,27.51999855041504,14.09000015258789,6.800000190734863,60.79999923706055,66.70000457763672,-1.159999966621399,3.1,1470.731201171875,30,2011,1,1,3,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.0514787547703465,0.9986740898848304
-27.671111,27.236944,03-01-2011,82.0,203.6,101.0,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,0.1526906697638399,-0.1526906697638399,-0.0205853396581042,0.0205853396581042,1.0420360047518866,0.3604130494379844,-0.0178307555905821,0.7659703096661465,0.9083092631154638,0.7350708671995652,1.0420360047518866,1.235675774467685,9.608310798322089,9.30054663986233,9.51214721847336,9.341719450032562,221622769.0,130028409.0,,,,,,,,-45396.0,,,,,,129.6999969482422,84.2,28.86999893188477,14.639999389648438,7.200000286102295,83.20000457763672,46.5,2.8399999141693115,4.2,1338.7171630859375,30,2011,1,1,3,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.0514787547703465,0.9986740898848304
-27.356667,27.286389,03-01-2011,56.1,145.1,151.0,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,0.2782271846872497,-0.2782271846872497,-0.0073385390822908,0.0073385390822908,1.0147855827413732,0.7709550118389712,-0.0827002744682817,0.5730160144992092,0.7526220399916764,0.5646670826276818,1.0147855827413732,1.3328597737437375,9.730888577890296,9.159415430790892,9.44671599205911,9.17409123930106,283198412.25,92987449.0,,,,,,,,-43377.375,,,,,,129.1999969482422,78.0,28.670000076293945,14.6899995803833,7.800000190734863,77.30000305175781,51.900001525878906,2.6499998569488525,3.9,1357.4078369140625,30,2011,1,1,3,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.0514787547703465,0.9986740898848304
-27.010111,26.698083,04-01-2011,82.2,289.8,192.0,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,0.0874622818909341,-0.0874622818909341,0.1002900079093061,-0.1002900079093061,0.8177025926103338,0.1916902285905861,-0.116062277319537,0.6861704266698783,0.7704588410342963,0.8391442473961408,0.8177025926103338,0.918148272391806,9.428230146341845,9.252872902694886,9.167485061669751,9.051637680780862,154591922.25,72786492.25,,,,,,,,-23154.0,,,,,,98.5999984741211,106.0,24.18000030517578,9.809999465942385,5.900000095367432,98.5999984741211,0.0,3.0,5.300000000000001,1281.6807861328125,10,2011,1,1,4,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064
-25.127778,27.628889,04-01-2011,125.0,438.0,163.0,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,0.2018302764640273,-0.2018302764640273,-0.0031215482879507,0.0031215482879507,1.0062626457269293,0.505732729550024,-0.0448984511541009,0.6682876887637488,0.8528282569746499,0.6641284873304241,1.0062626457269293,1.2841314192118454,8.963800242855577,8.5545853106333,8.804625232612809,8.560827228436299,61058596.0,27269284.0,,,,,,,,-22212.0,,,,,,105.5,135.1,27.170000076293945,12.619999885559082,24.0,105.5,0.0,2.0,6.800000000000001,951.590576171875,20,2011,1,1,4,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064
-25.20639,27.558,04-01-2011,116.62,568.0,69.0,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,0.1492033815639727,-0.1492033815639727,0.1015918958031832,-0.1015918958031832,0.8155543878087153,0.3507380690775201,-0.1323767992544093,0.6037842617152919,0.729655172413788,0.740335985853222,0.8155543878087153,0.985573018678632,9.556656851786691,9.2560304978933,9.241499834225284,9.052164937010309,199868906.25,72863296.0,,,,,,,,-26404.375,,,,,,103.70000457763672,143.4,27.0,12.519999504089355,33.60000228881836,103.70000457763672,0.0,1.959999918937683,7.2,950.8628540039062,30,2011,1,1,4,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064
-24.69514,27.40906,04-01-2011,181.831,583.0,158.0,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,0.186941580756013,-0.186941580756013,0.0495083663964117,-0.0495083663964117,0.9056541748849356,0.4598478444632154,-0.0969174066007704,0.620375731840696,0.7668725471273192,0.6850028951939736,0.9056541748849356,1.11951723490184,9.651429991057276,9.273127360074948,9.386014886048343,9.17403939224985,241584849.0,92977806.25,,,,,,,,-35492.625,,,,,,111.8000030517578,141.1,27.739999771118164,13.489999771118164,23.600000381469727,111.8000030517578,0.0,2.009999990463257,7.1000000000000005,912.1831665039062,80,2011,1,1,4,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064
-26.984722,26.632278,04-01-2011,196.0,452.0,158.0,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,0.1455002092925904,-0.1455002092925904,-0.0745098039215683,0.0745098039215683,1.161016949152531,0.3405506025276639,0.0396365975237175,0.8660746912226788,1.0240078930059122,0.745962142804935,1.161016949152531,1.3727343979621691,9.523982546097496,9.23092700558457,9.547705067380416,9.380209720830898,187224489.0,140434350.25,,,,,,,,-51227.625,,,,,,98.20000457763672,109.3,24.350000381469727,9.979999542236328,10.699999809265137,98.20000457763672,0.0,2.9800000190734863,5.5,1277.647705078125,30,2011,1,1,4,1,summer,1,0,0.4999999999999999,0.8660254037844387,0.068614738002134,0.9976432316860064
