Latitude,Longitude,Sample Date,year,month,quarter,day_of_year,week_of_year,season,is_wet_season,months_since_start,month_sin,month_cos,day_of_year_sin,day_of_year_cos
-28.760833,17.730278,02-01-2011,2011,1,1,2,52,summer,1,0,0.49999999999999994,0.8660254037844387,0.034327600513243496,0.9994106342455052
-26.861111,28.884722,03-01-2011,2011,1,1,3,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305
-26.45,28.085833,03-01-2011,2011,1,1,3,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305
-27.671111,27.236944,03-01-2011,2011,1,1,3,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305
-27.356667,27.286389,03-01-2011,2011,1,1,3,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.05147875477034653,0.9986740898848305
-27.01011111,26.69808333,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-25.127778,27.628889,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-25.20639,27.558,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-24.69514,27.40906,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-26.98472222,26.63227778,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-28.141944,26.417778,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-27.398611,26.614722,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-33.501667,21.624167,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-32.502778,19.535833,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-25.45963889,28.26430556,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-27.495556,26.074722,04-01-2011,2011,1,1,4,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.06861473800213404,0.9976432316860063
-26.648056,27.089444,05-01-2011,2011,1,1,5,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
-26.970278,27.211111,05-01-2011,2011,1,1,5,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
-27.38972222,26.46388889,05-01-2011,2011,1,1,5,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
-27.044444,27.005,05-01-2011,2011,1,1,5,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.08573050015569435,0.9963183634476755
-30.830556,26.921389,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-27.00222,28.76528,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-27.02314,28.59389,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-30.679722,26.7125,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-30.160091,27.40124,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-32.595833,19.009444,06-01-2011,2011,1,1,6,1,summer,1,0,0.49999999999999994,0.8660254037844387,0.1028209971373604,0.9946998756145891
-25.99136,27.84208,10-01-2011,2011,1,1,10,2,summer,1,0,0.49999999999999994,0.8660254037844387,0.17082974322534417,0.985300562686109
-26.73806,27.59194,10-01-2011,2011,1,1,10,2,summer,1,0,0.49999999999999994,0.8660254037844387,0.17082974322534417,0.985300562686109
